Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
PW Hasaranga,2022-2022,50,34,8,409,77*,15.73,134.53,-,2,2
Pramod Madushan,2022-2022,18,8,5,44,23*,14.66,88.00,-,-,1
CG Khurana,2022-2022,7,7,-,108,73,15.42,91.52,-,1,1
PK Panchal,2022-2022,5,5,1,169,59,42.25,138.52,-,1,-
SR Mohanty,2022-2022,5,4,1,33,19,11.00,82.50,-,-,-
Sumeet Verma,2022-2022,7,6,-,162,51,27.00,174.19,-,2,1
A Juyal,2022-2022,7,7,3,218,71*,54.50,120.44,-,2,-
MS Silva,2022-2022,2,1,-,6,6,6.00,54.54,-,-,-
L Tywaku,2022-2022,2,2,2,8,8*,0.00,40.00,-,-,-
Mohammad Aadil Alam,2022-2022,11,9,2,157,47*,22.42,150.96,-,-,-
Aamer Jamal,2022-2022,10,9,4,175,47*,35.00,190.21,-,-,-
Aamer Yamin,2022-2022,13,11,2,130,37,14.44,131.31,-,-,1
Aamir Kaleem,2022-2022,5,2,-,9,9,4.50,56.25,-,-,1
Aamir Lal,2022-2022,4,4,-,39,34,9.75,169.56,-,-,1
Aaqib Khan,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Aarif Sheikh,2022-2022,17,14,4,198,38,19.80,106.45,-,-,1
VR Aaron,2022-2022,8,2,1,9,9*,9.00,128.57,-,-,1
Aaron Jones,2022-2022,5,5,-,78,38,15.60,96.29,-,-,-
Aasif Sheikh,2022-2022,18,17,1,410,87*,25.62,118.84,-,2,2
Aayan Afzal Khan,2022-2022,5,3,-,49,25,16.33,108.88,-,-,-
P Abanda,2022-2022,9,8,-,29,16,3.62,58.00,-,-,2
Z Abbasi,2022-2022,3,3,-,20,16,6.66,153.84,-,-,1
Abbas Afridi,2022-2022,8,3,-,7,5,2.33,100.00,-,-,-
SA Abbott,2022-2022,22,15,3,86,41,7.16,114.66,-,-,2
R Abdulkareem,2022-2022,7,1,-,-,-,0.00,0.00,-,-,1
Abdullah Adil,2022-2022,7,5,3,20,9,10.00,105.26,-,-,-
Abdullah Akbarjan,2022-2022,15,10,2,36,13,4.50,67.92,-,-,2
Abdullah Mahmood,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Abdullah Shafique,2022-2022,18,18,-,339,52,18.83,120.64,-,1,1
Abdullah Shahid,2022-2022,3,3,-,45,34,15.00,80.35,-,-,-
Abdullah Sheikh,2022-2022,3,2,1,3,2,3.00,42.85,-,-,-
Abdulla Popalzae,2022-2022,1,1,-,-,-,0.00,0.00,-,-,1
Abdulmalik Jabarkhel,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-
Abdul-Shakoor Rahimzei,2022-2022,7,5,1,73,30*,18.25,135.18,-,-,-
Abdul Bangalzai,2022-2022,11,11,2,272,67*,30.22,128.90,-,2,-
Abdul Basith,2022-2022,8,7,4,109,27*,36.33,149.31,-,-,-
Abdul Hadi,2022-2022,2,2,-,-,-,0.00,0.00,-,-,2
Abdul Majid Malik,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-
Abdul Malik,2022-2022,1,1,-,6,6,6.00,150.00,-,-,-
Abdul Rahman,2022-2022,8,4,2,35,31*,17.50,140.00,-,-,1
Abdul Rahman,2022-2022,7,7,2,144,67,28.80,110.76,-,1,1
Abdul Rahman,2022-2022,1,1,1,1,1*,0.00,50.00,-,-,-
Abdul Samad,2022-2022,9,9,3,191,55,31.83,157.85,-,1,2
Abdul Stanikzai,2022-2022,5,5,-,71,24,14.20,80.68,-,-,1
Abdul Shakoor,2022-2022,8,6,1,90,27,18.00,93.75,-,-,-
Abdul Waheed,2022-2022,7,7,1,80,20*,13.33,96.38,-,-,-
Abdul Wasi,2022-2022,6,6,3,83,36*,27.66,76.85,-,-,1
Abeesh TA,2022-2022,2,1,-,1,1,1.00,50.00,-,-,-
JB Abega,2022-2022,10,9,-,33,11,3.66,42.30,-,-,3
TB Abell,2022-2022,19,18,3,445,70,29.66,136.50,-,2,1
SS Abeyawardhana,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
KD Abeyrathna,2022-2022,6,6,1,98,45,19.60,100.00,-,-,-
ALKL Abeyrathne,2022-2022,5,5,-,76,37,15.20,101.33,-,-,-
L Abeyratne,2022-2022,8,7,1,84,62*,14.00,109.09,-,1,2
AMCD Abeysinghe,2022-2022,3,1,1,-,0*,0.00,0.00,-,-,-
L Abeysinghe,2022-2022,4,3,1,16,10*,8.00,133.33,-,-,-
Abhijeet Ahuja,2022-2022,10,10,-,203,75,20.30,102.52,-,1,2
Abhijeet Saket,2022-2022,6,1,-,2,2,2.00,50.00,-,-,-
P Abhijit,2022-2022,3,2,-,5,5,2.50,55.55,-,-,1
K Abhinay,2022-2022,7,-,-,-,-,0.00,0.00,-,-,-
Abhishek Ahuja,2022-2022,9,9,-,165,61,18.33,91.66,-,1,2
Abhishek Kumar,2022-2022,7,3,2,1,1*,1.00,11.11,-,-,1
Abhishek Sharma,2022-2022,24,24,3,685,75,32.61,130.72,-,4,1
Abidullah Taniwal,2022-2022,7,7,3,65,30*,16.25,151.16,-,-,1
Abid Mohammadi,2022-2022,4,4,-,109,44,27.25,136.25,-,-,-
Abid Mushtaq,2022-2022,7,5,2,42,32,14.00,107.69,-,-,-
M Abin Mathew,2022-2022,3,-,-,-,-,0.00,0.00,-,-,-
Abishek Porel,2022-2022,3,3,1,22,20*,11.00,100.00,-,-,1
GJ Abrahams,2022-2022,1,1,1,15,15*,0.00,93.75,-,-,-
